Date : 2025-03-21 13:27:45
Directory : d:\Projects\Websites\befikr
Total : 1886 files,  101520 codes, 33945 comments, 21197 blanks, all 156662 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| vendor\sebastian\code-unit\src                                                                                                                                          |         16 |        609 |        361 |        137 |      1,107 |
| vendor\sebastian\code-unit\src (Files)                                                                                                                                  |         12 |        585 |        329 |        125 |      1,039 |
| vendor\sebastian\code-unit\src\exceptions                                                                                                                               |          4 |         24 |         32 |         12 |         68 |
| vendor\sebastian\comparator                                                                                                                                             |         22 |      1,049 |        256 |        314 |      1,619 |
| vendor\sebastian\comparator (Files)                                                                                                                                     |          4 |        255 |          0 |        130 |        385 |
| vendor\sebastian\comparator\src                                                                                                                                         |         18 |        794 |        256 |        184 |      1,234 |
| vendor\sebastian\comparator\src (Files)                                                                                                                                 |         16 |        783 |        240 |        179 |      1,202 |
| vendor\sebastian\comparator\src\exceptions                                                                                                                              |          2 |         11 |         16 |          5 |         32 |
| vendor\sebastian\complexity                                                                                                                                             |         12 |        467 |        148 |        146 |        761 |
| vendor\sebastian\complexity (Files)                                                                                                                                     |          4 |        124 |          0 |         58 |        182 |
| vendor\sebastian\complexity\src                                                                                                                                         |          8 |        343 |        148 |         88 |        579 |
| vendor\sebastian\complexity\src (Files)                                                                                                                                 |          1 |         56 |         26 |         14 |         96 |
| vendor\sebastian\complexity\src\Complexity                                                                                                                              |          3 |        150 |         69 |         36 |        255 |
| vendor\sebastian\complexity\src\Exception                                                                                                                               |          2 |         11 |         16 |          5 |         32 |
| vendor\sebastian\complexity\src\Visitor                                                                                                                                 |          2 |        126 |         37 |         33 |        196 |
| vendor\sebastian\diff                                                                                                                                                   |         20 |      1,348 |        283 |        412 |      2,043 |
| vendor\sebastian\diff (Files)                                                                                                                                           |          4 |        323 |          0 |        139 |        462 |
| vendor\sebastian\diff\src                                                                                                                                               |         16 |      1,025 |        283 |        273 |      1,581 |
| vendor\sebastian\diff\src (Files)                                                                                                                                       |          8 |        509 |        143 |        135 |        787 |
| vendor\sebastian\diff\src\Exception                                                                                                                                     |          3 |         33 |         24 |          8 |         65 |
| vendor\sebastian\diff\src\Output                                                                                                                                        |          5 |        483 |        116 |        130 |        729 |
| vendor\sebastian\environment                                                                                                                                            |          6 |        507 |        104 |        196 |        807 |
| vendor\sebastian\environment (Files)                                                                                                                                    |          4 |        215 |          0 |        126 |        341 |
| vendor\sebastian\environment\src                                                                                                                                        |          2 |        292 |        104 |         70 |        466 |
| vendor\sebastian\exporter                                                                                                                                               |          5 |        635 |         78 |        227 |        940 |
| vendor\sebastian\exporter (Files)                                                                                                                                       |          4 |        330 |          0 |        149 |        479 |
| vendor\sebastian\exporter\src                                                                                                                                           |          1 |        305 |         78 |         78 |        461 |
| vendor\sebastian\global-state                                                                                                                                           |         10 |        680 |        171 |        221 |      1,072 |
| vendor\sebastian\global-state (Files)                                                                                                                                   |          4 |        158 |          0 |         78 |        236 |
| vendor\sebastian\global-state\src                                                                                                                                       |          6 |        522 |        171 |        143 |        836 |
| vendor\sebastian\global-state\src (Files)                                                                                                                               |          4 |        511 |        155 |        138 |        804 |
| vendor\sebastian\global-state\src\exceptions                                                                                                                            |          2 |         11 |         16 |          5 |         32 |
| vendor\sebastian\lines-of-code                                                                                                                                          |         11 |        299 |        128 |        112 |        539 |
| vendor\sebastian\lines-of-code (Files)                                                                                                                                  |          4 |        115 |          0 |         53 |        168 |
| vendor\sebastian\lines-of-code\src                                                                                                                                      |          7 |        184 |        128 |         59 |        371 |
| vendor\sebastian\lines-of-code\src (Files)                                                                                                                              |          3 |        161 |         96 |         48 |        305 |
| vendor\sebastian\lines-of-code\src\Exception                                                                                                                            |          4 |         23 |         32 |         11 |         66 |
| vendor\sebastian\object-enumerator                                                                                                                                      |          5 |        182 |         17 |         84 |        283 |
| vendor\sebastian\object-enumerator (Files)                                                                                                                              |          4 |        140 |          0 |         71 |        211 |
| vendor\sebastian\object-enumerator\src                                                                                                                                  |          1 |         42 |         17 |         13 |         72 |
| vendor\sebastian\object-reflector                                                                                                                                       |          5 |        146 |         11 |         65 |        222 |
| vendor\sebastian\object-reflector (Files)                                                                                                                               |          4 |        122 |          0 |         58 |        180 |
| vendor\sebastian\object-reflector\src                                                                                                                                   |          1 |         24 |         11 |          7 |         42 |
| vendor\sebastian\recursion-context                                                                                                                                      |          5 |        204 |         45 |         75 |        324 |
| vendor\sebastian\recursion-context (Files)                                                                                                                              |          4 |        118 |          0 |         51 |        169 |
| vendor\sebastian\recursion-context\src                                                                                                                                  |          1 |         86 |         45 |         24 |        155 |
| vendor\sebastian\type                                                                                                                                                   |         26 |      1,278 |        420 |        404 |      2,102 |
| vendor\sebastian\type (Files)                                                                                                                                           |          5 |        221 |          0 |        109 |        330 |
| vendor\sebastian\type\src                                                                                                                                               |         21 |      1,057 |        420 |        295 |      1,772 |
| vendor\sebastian\type\src (Files)                                                                                                                                       |          3 |        244 |         63 |         74 |        381 |
| vendor\sebastian\type\src\exception                                                                                                                                     |          2 |         11 |         22 |          5 |         38 |
| vendor\sebastian\type\src\type                                                                                                                                          |         16 |        802 |        335 |        216 |      1,353 |
| vendor\sebastian\version                                                                                                                                                |          5 |        192 |         27 |         80 |        299 |
| vendor\sebastian\version (Files)                                                                                                                                        |          4 |        125 |          0 |         61 |        186 |
| vendor\sebastian\version\src                                                                                                                                            |          1 |         67 |         27 |         19 |        113 |
| vendor\staabm                                                                                                                                                           |          5 |      1,949 |         62 |         90 |      2,101 |
| vendor\staabm\side-effects-detector                                                                                                                                     |          5 |      1,949 |         62 |         90 |      2,101 |
| vendor\staabm\side-effects-detector (Files)                                                                                                                             |          2 |         74 |          0 |         23 |         97 |
| vendor\staabm\side-effects-detector\lib                                                                                                                                 |          3 |      1,875 |         62 |         67 |      2,004 |
| vendor\theseer                                                                                                                                                          |         12 |        417 |         30 |        142 |        589 |
| vendor\theseer\tokenizer                                                                                                                                                |         12 |        417 |         30 |        142 |        589 |
| vendor\theseer\tokenizer (Files)                                                                                                                                        |          4 |        127 |          0 |         60 |        187 |
| vendor\theseer\tokenizer\src                                                                                                                                            |          8 |        290 |         30 |         82 |        402 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Projects\Websites\befikr\.github\workflows\deployTesting.yml                                                                                                         | YAML       |         36 |          0 |         10 |         46 |
| d:\Projects\Websites\befikr\.github\workflows\phpunit.yml                                                                                                               | YAML       |         29 |          0 |          9 |         38 |
| d:\Projects\Websites\befikr\PHPMailer-master\README.md                                                                                                                  | Markdown   |       -167 |          0 |        -64 |       -231 |
| d:\Projects\Websites\befikr\PHPMailer-master\SECURITY.md                                                                                                                | Markdown   |        -19 |          0 |        -19 |        -38 |
| d:\Projects\Websites\befikr\PHPMailer-master\composer.json                                                                                                              | JSON       |        -80 |          0 |         -1 |        -81 |
| d:\Projects\Websites\befikr\PHPMailer-master\get_oauth_token.php                                                                                                        | PHP        |       -117 |        -48 |        -18 |       -183 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-af.php                                                                                             | PHP        |        -20 |         -4 |         -3 |        -27 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ar.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-as.php                                                                                             | PHP        |        -28 |         -5 |         -3 |        -36 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-az.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ba.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-be.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-bg.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-bn.php                                                                                             | PHP        |        -28 |         -5 |         -3 |        -36 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ca.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-cs.php                                                                                             | PHP        |        -22 |         -4 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-da.php                                                                                             | PHP        |        -27 |         -7 |         -3 |        -37 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-de.php                                                                                             | PHP        |        -22 |         -4 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-el.php                                                                                             | PHP        |        -27 |         -4 |         -3 |        -34 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-eo.php                                                                                             | PHP        |        -20 |         -4 |         -3 |        -27 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-es.php                                                                                             | PHP        |        -27 |         -7 |         -3 |        -37 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-et.php                                                                                             | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fa.php                                                                                             | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fi.php                                                                                             | PHP        |        -13 |        -12 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fo.php                                                                                             | PHP        |        -13 |        -12 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-fr.php                                                                                             | PHP        |        -27 |         -7 |         -3 |        -37 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-gl.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-he.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hi.php                                                                                             | PHP        |        -27 |         -6 |         -3 |        -36 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hr.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hu.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-hy.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-id.php                                                                                             | PHP        |        -22 |         -7 |         -3 |        -32 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-it.php                                                                                             | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ja.php                                                                                             | PHP        |        -27 |         -8 |         -3 |        -38 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ka.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ko.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ku.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-lt.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-lv.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-mg.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-mn.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ms.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-nb.php                                                                                             | PHP        |        -27 |         -4 |         -3 |        -34 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-nl.php                                                                                             | PHP        |        -27 |         -5 |         -3 |        -35 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-pl.php                                                                                             | PHP        |        -27 |         -4 |         -3 |        -34 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-pt.php                                                                                             | PHP        |        -20 |         -5 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-pt_br.php                                                                                          | PHP        |        -27 |         -9 |         -3 |        -39 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ro.php                                                                                             | PHP        |        -27 |         -4 |         -3 |        -34 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ru.php                                                                                             | PHP        |        -27 |         -7 |         -3 |        -37 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-si.php                                                                                             | PHP        |        -27 |         -5 |         -3 |        -35 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sk.php                                                                                             | PHP        |        -22 |         -6 |         -3 |        -31 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sl.php                                                                                             | PHP        |        -27 |         -7 |         -3 |        -37 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sr.php                                                                                             | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sr_latn.php                                                                                        | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sv.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-tl.php                                                                                             | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-tr.php                                                                                             | PHP        |        -27 |         -9 |         -3 |        -39 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-uk.php                                                                                             | PHP        |        -20 |         -6 |         -3 |        -29 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ur.php                                                                                             | PHP        |        -23 |         -5 |         -3 |        -31 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-vi.php                                                                                             | PHP        |        -19 |         -6 |         -3 |        -28 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-zh.php                                                                                             | PHP        |        -20 |         -7 |         -3 |        -30 |
| d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-zh_cn.php                                                                                          | PHP        |        -27 |         -7 |         -3 |        -37 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\DSNConfigurator.php                                                                                                    | PHP        |       -136 |        -80 |        -30 |       -246 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\Exception.php                                                                                                          | PHP        |         -9 |        -28 |         -4 |        -41 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\OAuth.php                                                                                                              | PHP        |        -46 |        -79 |        -15 |       -140 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\OAuthTokenProvider.php                                                                                                 | PHP        |         -6 |        -35 |         -4 |        -45 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\PHPMailer.php                                                                                                          | PHP        |     -2,926 |     -1,929 |       -394 |     -5,249 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\POP3.php                                                                                                               | PHP        |       -183 |       -234 |        -53 |       -470 |
| d:\Projects\Websites\befikr\PHPMailer-master\src\SMTP.php                                                                                                               | PHP        |       -747 |       -619 |       -144 |     -1,510 |
| d:\Projects\Websites\befikr\composer.json                                                                                                                               | JSON       |          8 |          0 |          1 |          9 |
| d:\Projects\Websites\befikr\composer.lock                                                                                                                               | JSON       |      1,789 |          0 |          1 |      1,790 |
| d:\Projects\Websites\befikr\cronJob.php                                                                                                                                 | PHP        |         17 |          1 |          6 |         24 |
| d:\Projects\Websites\befikr\db_host.php                                                                                                                                 | PHP        |         13 |          0 |          4 |         17 |
| d:\Projects\Websites\befikr\get_number.php                                                                                                                              | PHP        |         21 |          1 |          7 |         29 |
| d:\Projects\Websites\befikr\mail.php                                                                                                                                    | PHP        |         68 |         10 |         19 |         97 |
| d:\Projects\Websites\befikr\mailPHPMailer.php                                                                                                                           | PHP        |         69 |         39 |         37 |        145 |
| d:\Projects\Websites\befikr\next.config.js                                                                                                                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\package-lock.json                                                                                                                           | JSON       |         71 |          0 |          0 |         71 |
| d:\Projects\Websites\befikr\package.json                                                                                                                                | JSON       |          5 |          0 |         -1 |          4 |
| d:\Projects\Websites\befikr\phpunit.xml                                                                                                                                 | XML        |          8 |          0 |          1 |          9 |
| d:\Projects\Websites\befikr\postalService.php                                                                                                                           | PHP        |         54 |         38 |         27 |        119 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg.svg                                                                                                              | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg_1.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg_2.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg_3.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg_4.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg_5.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-svg_6.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg.svg                                                                                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg_1.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg_2.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg_3.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg_4.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg_5.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\extraLogos\logo-transparent-svg_6.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\logos\eveready.svg                                                                                                                   | XML        |         -1 |          0 |          0 |         -1 |
| d:\Projects\Websites\befikr\public\logos\siemens.svg                                                                                                                    | XML        |         -1 |          0 |          0 |         -1 |
| d:\Projects\Websites\befikr\public\service_img\logo-svg.svg                                                                                                             | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\service_img\logo-svg1.svg                                                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\service_img\logo-svgDefective.svg                                                                                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\service_img\logo-svgELECTRICAL.svg                                                                                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\service_img\logo-svgEnergy.svg                                                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\Websites\befikr\public\sitemap.xml                                                                                                                          | XML        |         45 |          0 |          1 |         46 |
| d:\Projects\Websites\befikr\script\generate-sitemap.js                                                                                                                  | JavaScript |         28 |          3 |          6 |         37 |
| d:\Projects\Websites\befikr\serviceBooking.php                                                                                                                          | PHP        |         44 |         38 |         26 |        108 |
| d:\Projects\Websites\befikr\src\app\about-befikr\page.js                                                                                                                | JavaScript |        -58 |          0 |         -7 |        -65 |
| d:\Projects\Websites\befikr\src\app\about-us\founders\page.js                                                                                                           | JavaScript |         42 |          0 |          7 |         49 |
| d:\Projects\Websites\befikr\src\app\about-us\page.js                                                                                                                    | JavaScript |         62 |          0 |          8 |         70 |
| d:\Projects\Websites\befikr\src\app\career\SectionOne.js                                                                                                                | JavaScript |        -21 |          0 |         -2 |        -23 |
| d:\Projects\Websites\befikr\src\app\career\SectionTwo.js                                                                                                                | JavaScript |        -54 |          0 |         -5 |        -59 |
| d:\Projects\Websites\befikr\src\app\career\job\form.js                                                                                                                  | JavaScript |       -107 |         -2 |        -17 |       -126 |
| d:\Projects\Websites\befikr\src\app\career\job\page.js                                                                                                                  | JavaScript |       -307 |        -16 |        -30 |       -353 |
| d:\Projects\Websites\befikr\src\app\career\page.js                                                                                                                      | JavaScript |        -18 |          0 |         -8 |        -26 |
| d:\Projects\Websites\befikr\src\app\career\postJobs\page.js                                                                                                             | JavaScript |        -91 |          0 |        -12 |       -103 |
| d:\Projects\Websites\befikr\src\app\careers\SectionOne.js                                                                                                               | JavaScript |         28 |          0 |          2 |         30 |
| d:\Projects\Websites\befikr\src\app\careers\SectionTwo.js                                                                                                               | JavaScript |         41 |         16 |          5 |         62 |
| d:\Projects\Websites\befikr\src\app\careers\jobs\form.js                                                                                                                | JavaScript |        114 |          9 |         23 |        146 |
| d:\Projects\Websites\befikr\src\app\careers\jobs\jobsFormBackup.js                                                                                                      | JavaScript |        123 |          9 |         24 |        156 |
| d:\Projects\Websites\befikr\src\app\careers\jobs\jobsPageBackup.js                                                                                                      | JavaScript |        618 |         17 |         33 |        668 |
| d:\Projects\Websites\befikr\src\app\careers\jobs\page.js                                                                                                                | JavaScript |        629 |         17 |         36 |        682 |
| d:\Projects\Websites\befikr\src\app\careers\page.js                                                                                                                     | JavaScript |         18 |          0 |          8 |         26 |
| d:\Projects\Websites\befikr\src\app\careers\postJobs\page.js                                                                                                            | JavaScript |         91 |          0 |         12 |        103 |
